name,calories,protein,carbs,fat,fiber
Lightly Salted Potato chips,494.0,7.7,56.7,25.4,5.0
dalaa,0.0,0.0,0.0,0.0,0.0
Wheat flour sourdough bread,226.0,8.43,44.8,1.0,2.25
Red Kidney Beans,117.0,8.4,15.0,1.0,7.0
Mélange de noix et d'olives,645.0,23.5,10.6,54.5,8.3
cassonade,400.0,0.5,100.0,0.5,0.0
Palmito L'original,533.0,6.1,59.0,30.0,2.4
Danone le nature 125 g x 4,46.0,4.0,5.3,1.0,0.0
Comté,410.0,26.0,0.5,34.0,0.0
BRIDELIGHT LE BON MOELLEUX ALLEGE 5%MG 350g,145.0,25.0,0.5,5.0,0.0
Épeautre noisette bjorg,76.0,1.0,11.0,3.0,0.5
Nectar de pommes - Doux - Bio,35.0,0.5,8.8,0.0,0.5
Curly cacahuète l'original,486.0,13.0,52.0,24.0,5.5
PAIN MIE SANDWICH BIO* COMPLET Sans sucres ajoutés 500G,252.0,10.0,38.0,5.1,6.9
Röstzwiebeln,606.0,6.0,40.0,46.0,4.0
Dark soy sauce,224.0,4.5,51.6,0.0,0.0
CRISP BREAD Blackpepper,344.0,8.8,66.6,1.6,14.5
Cocoa Alpha Bites,385.0,10.0,78.0,2.4,6.7
Salt and Vinegar Flavour Potato Crisps,512.0,6.4,52.0,29.6,4.0
Belvita original  - Biscuits petit déjeuner miel & pépites de chocolat,444.0,7.3,67.0,15.0,5.7
Chocolat noir Bio 70%,580.0,9.1,36.0,42.0,10.0
Chips sea salt & cider vinegar,491.0,5.2,51.8,27.2,3.3
10 potato waffles,168.0,2.2,22.0,7.6,1.4
Traditional Dairy Ice Cream,184.0,4.0,19.2,10.3,0.0
Grilletine froment,427.0,12.0,70.0,9.6,6.3
Saint Agur,361.0,16.0,0.5,33.0,0.0
French Inspired Lentils,119.0,7.2,14.5,2.4,5.2
L'original,135.0,4.7,27.0,0.5,2.2
Chopped Garlic,76.0,4.7,11.3,0.1,0.0
HERTA Blanc Poulet Nature conservation sans nitrite x4 -140g,105.6,21.0,0.9,2.0,0.0
Rhumix,0.0,0.0,0.0,0.0,0.0
ProActiv Original,315.0,0.05,0.5,35.0,0.0
Pâte à tartiner noisettes,552.22,5.86,44.64,39.86,0.0
All butter shortbread fingers,513.0,6.3,60.4,26.9,2.0
schweppes Indian tonic,19.0,0.0,5.8,0.0,0.0
Caprice des Dieux,333.0,15.0,0.8,30.0,0.0
Moutarde Fine et Forte Flacon Souple,145.0,7.7,2.7,10.0,3.8
St Moret ligne et plaisir,132.0,10.0,5.0,8.0,0.0
Fromage blanc au lait de brebis,96.0,5.3,4.5,6.3,0.0
Elle & vire creme fraiche epaisse legere 12%mg poche 328g,145.0,3.1,6.1,12.0,0.0
The Original Speculoos,484.0,4.9,72.6,19.0,1.3
Fakiat,502.0,7.4,65.0,24.5,6.0
جبن طازج,85.0,7.5,3.7,4.5,0.0
Lait demi écrémé UHT,43.5,3.0,4.5,1.5,0.0
Kikkoman Soyasaus glutenfrei,57.0,10.0,2.0,0.0,0.0
Goody cao,384.0,5.4,78.9,3.3,7.5
Mousse au chocolat vegetal au lait de coco,163.0,2.2,19.3,8.2,0.0
Italian Tomato Passata,21.2,1.24,3.16,0.2,1.12
Skyr framboise,88.0,8.9,8.9,1.9,0.0
Oat Milk,55.0,0.7,5.7,3.0,0.8
Milk Single Origin Chocolate,618.0,8.0,39.0,47.0,3.4
Havarti light,267.0,27.0,1.6,17.0,0.0
HAWAI ANANAS 1l,48.0,0.0,12.0,0.0,0.0
Confiture 70% de fraise,168.0,0.6,40.0,0.4,1.4
Rostlinná slanina,218.0,15.0,4.3,15.0,3.2
Sundried Cherry Tomato & Basil,49.0,1.7,5.1,2.1,0.0
Beurre planta fin,531.0,0.5,0.5,59.0,0.0
Honey Granola,494.0,13.1,49.2,26.7,7.0
Chergui proteine,58.9,8.0,5.51,0.7,0.0
Carottes râpées à la ciboulette,79.0,1.1,5.6,5.2,28.0
Tourtel Twist,27.0,0.5,6.4,0.0,0.0
Snack poppé T&H,398.0,18.0,54.0,10.0,8.6
Chocolat noir 75% Pérou,607.0,6.8,32.0,48.0,10.0
ORIGINAL RYVITA CRACKERBREAD,0.0,0.0,0.0,0.0,0.0
Organic tofu imp,61.0,6.5,2.8,2.7,0.0
Greek style Honey,141.0,4.1,13.7,7.8,0.0
Confiture de Fraise,255.0,0.0,63.0,0.0,1.0
PERRIER eau minérale naturelle gazeuse,0.0,0.0,0.0,0.0,0.0
HERTA Pâte à Pizza Fine et Rectangulaire 390g,287.5,8.7,49.0,5.3,1.0
Sun-dried Tomato Pesto,296.0,4.1,7.9,27.0,2.3
Pâtes spaghetti n°5 1kg,359.0,13.0,71.0,2.0,3.0
Pesto alla Calabrese 190g,337.0,3.3,8.3,32.0,1.2
Chicken Stock Pot 8 x,91.0,4.1,10.0,4.0,0.8
MAGGI KUB OR L'Original - 128g,185.0,4.8,22.5,8.3,0.6
Chocao,381.0,4.4,79.5,2.2,6.4
Chocolate negro 99% cacao,610.0,15.0,8.0,54.0,16.0
Carres graines pepites de chocolat,507.0,8.7,54.3,27.3,4.5
Sucre Pure Via SpecialPatisserie,1.0,0.0,99.0,0.0,0.0
Milka aux noisettes,552.0,3.8,57.0,34.0,2.1
Chips de lentilles saveur oignons caramélisés,452.0,13.0,54.0,19.0,7.7
Boursin ail et fines herbes,385.0,8.5,3.0,37.0,0.0
Moutarde à l’ancienne,172.0,6.9,9.3,10.0,3.5
Confiture fraise sans sucre ajoutes,89.0,0.6,21.7,0.5,8.9
rice crispies,390.0,7.0,86.7,1.33,3.0
Excellence Noir Caramel à la pointe de sel,520.0,5.4,56.0,29.0,0.0
CONTREX eau minérale naturelle 1L,0.0001,0.0001,0.0001,0.0001,0.0
Pain complet seigle,198.0,4.6,37.0,1.3,10.0
Poulet🐔 au Curry et Noix de Coco 🥥,90.0,6.3,10.0,2.5,1.1
Kinder Pinguin,460.0,7.67,43.33,28.33,0.0
Weetabix Oatiflakes,405.0,11.0,67.0,8.6,8.0
Warburtons 6 Brown Sandwich Thins,250.0,10.0,45.3,2.75,3.5
Classic Medium Sliced Wholemeal Bread,228.0,11.1,37.2,2.61,6.09
Schweppes Agrumes Zero,2.3,0.0,0.0,0.0,0.0
BTE 33CL SLIM FANTA ORANGE,27.0,0.0,6.5,0.0,0.0
Boulettes aux Légumes,227.0,16.2,5.2,14.4,5.9
Ferrero rocher,603.0,8.2,44.4,42.7,0.0
Chia seeds,455.0,18.4,6.3,32.1,34.0
Knorr Beef Flavored Buillon Cubes - 8 Cubes,3.0,0.5,0.5,0.5,0.0
Haricots Verts extra-fins 1/2,20.0,1.4,2.3,0.1,2.4
MOZZARELLA PIZZA-ROMA,283.0,21.0,2.5,21.0,0.0
Classic Margherita Mozzarella & Tomato Pizza,251.0,12.5,30.4,8.33,2.45
Cod Fish Fingers,211.0,12.0,20.0,9.0,0.8
Gerblé cacao céréales,453.0,10.0,62.0,17.0,6.1
Délicimo : Stracciatella,168.0,5.3,20.0,7.4,0.0
Cholula Hot Sauce,23.0,0.7,2.0,1.0,0.09
halta cucina,256.0,2.599999905,5.0,25.0,0.0
Crakes choc,433.18,4.74,64.27,17.46,1.63
Oreo O's,382.0,7.9,81.0,2.1,3.9
wholemeal sourdough bread,258.0,10.9,42.4,4.0,4.6
Crema de cacahuete 100% crunchy,608.0,30.0,12.0,47.0,8.2
Green pesto,462.0,4.4,6.7,45.9,2.2
Petit déjeuner fruits rouges,457.0,8.7,64.0,17.0,6.6
Rôti de Poulet - 100% filet,110.0,22.0,0.5,2.2,0.0
Oreo chocolate,525.0,7.84,78.4,19.6,1.96
MARG FAMILIA 400G,0.0,0.0,0.0,0.0,0.0
Chicoree soluble nature bio 100g,0.0,0.0,0.0,0.0,0.0
Les galettes orge et boulgour au chèvre miel,219.0,5.4,26.0,9.0,6.3
Paysan Breton - Le Fromage Fouetté Madame Loïk - Echalote Ciboulette,242.0,5.5,3.2,23.0,0.0
Queso rallado parmesano,402.0,32.0,0.0,30.0,0.0
Pain de mie grandes tranches complet,255.0,9.3,40.0,4.8,7.4
Überraschung,561.0,8.4,52.6,34.9,0.0
Chocolat Tentation Noir Gourmand Amandes,543.0,9.2,40.4,38.3,0.0
Nectar Orange,46.0,0.0,12.0,0.0,0.0
Perly façon tarte aux fraises,118.0,7.3,13.5,3.9,0.0
Organic Extra Virgin Olive Oil,800.0,0.0,0.0,86.7,0.0
Noir amandes entières,569.0,7.3,43.0,39.0,7.8
8 Tortillas - Blé nature,299.0,9.1,53.2,5.2,1.6
Pure Creamed Coconut,604.0,5.6,6.4,65.0,0.0
Ghilal Panaché,68.0,1.4,14.0,0.7,0.0
Milk Caramel Sea Salt Chocolate,537.0,6.9,54.0,32.0,0.0
Mixed Beans,106.0,7.8,13.8,0.5,9.7
Fromage,0.0,0.0,0.0,0.0,0.0
Cola Cao El Original,68.0,3.4,9.6,1.7,0.5
Raffaello - Confetteria - Kokos & Mandelcreme,599.0,8.1,46.5,41.8,0.0
HERTA TARTE EN OR Pâte Brisée 230g,387.8,5.8,45.0,20.0,2.3
PET 1.2L MAYTEA PECHE,20.0,0.0,4.8,0.0,0.0
Le moelleux,113.0,6.8,11.0,4.6,0.0
Multigrain Rice Cakes,400.0,11.4,72.9,5.71,5.71
Purified Drinking Water,0.0,0.0,0.0,0.0,0.0
Chocolate Chip Oat Biscuit Breaks,475.0,7.7,62.3,20.5,5.4
Milk Chocolate Nut,554.0,7.9,51.4,34.6,2.5
Nougat Bits,443.0,6.1,65.6,16.3,4.9
Dried Mango,290.0,2.9,67.0,0.2,5.3
Lindt Excellence Dark Orange Intense,160.0,2.1,15.3,9.6,0.0
Crème fraîche épaisse,169.0,2.5,6.0,15.0,0.0
Thon a lhuile,145.0,29.6,0.2,2.8,0.0
sirop d'agave,324.0,0.0,77.0,0.5,5.7
Chucrut al estilo bávaro,22.0,1.5,1.9,0.5,0.0
Sweet Chilli & Red Pepper,503.0,7.0,54.1,27.3,6.6
"Alpro Sojadrink, Ungesüßt fresh",33.0,3.3,0.0,1.8,0.6
GARDEN GOURMET Nuggets Soja 200g,236.0,13.1,15.0,12.5,5.7
Pan de molde con 52% centeno,265.0,10.0,35.0,7.8,7.5
Raibi grenadine,0.0,0.0,0.0,0.0,0.0
Old English Medium Sliced White Bread,248.0,9.4,46.4,2.6,2.1
Unsweetened UHT Soya Drink,31.0,3.4,0.1,1.9,0.0
Tortelloni Ricotta et épinards,276.0,9.2,34.2,10.8,0.0
Super Seeds Salad Topper,534.0,30.0,10.0,38.0,14.0
Pesto Basil,395.0,3.7,6.2,39.0,2.0
Brioche tranchée nature ss additif,345.0,8.0,51.0,11.0,5.0
"Wholemeal, Seeds and Grains Loaf",256.0,11.6,37.5,5.0,6.36
Poulain Grand Arôme intense 70% de cacao,68.0,4.2,7.5,2.1,1.6
Oat Barista Blend,54.0,0.8,5.8,2.9,0.8
Quinoa red & white,184.0,5.8,31.0,3.2,4.0
Tortilla chips,473.0,6.1,62.9,20.5,6.3
Italian Chopped Tomatoes in tomato juice,24.0,1.2,3.5,0.5,0.9
Mints,456.0,3.5,70.0,17.0,4.5
Citronnade,23.0,0.0,5.1,0.0,0.0
Pains au chocolat,379.0,7.2,50.0,17.0,4.8
Chips saveur Chèvre piment d'Espelette,522.0,6.3,52.0,31.0,4.8
Raffaello,627.0,7.4,38.6,48.3,0.0
Soft Tiger Bloomer,251.0,10.1,46.2,2.4,2.0
Céréales Extra Kellogg's Pépites Chocolat au lait,484.0,7.0,62.0,22.0,4.9
Mature Cheddar & Chive,505.0,7.5,52.9,27.8,6.5
Small chunk pickle,159.0,0.6,35.0,0.8,0.0
Oven Baked Sweet Potato Fries,192.0,2.75,27.5,6.88,5.38
Gout Bacon,479.0,8.5,66.0,19.0,2.4
Organic Soya Unsweetened U.H.T.,32.0,3.3,0.0,1.9,0.6
Coca Cola 1.25ltr,42.0,0.0,10.6,0.0,0.0
Couscous Moyen,361.0,12.0,72.0,2.0,3.3
NESTLÉ DESSERT 70% Absolu 170g,592.0,9.0,33.0,44.7,10.9
Mélanges de fruits,53.0,0.3,12.8,0.0,0.0
Tosta Rica,463.0,7.5,73.0,15.0,2.9
Teriyakisauce,97.0,6.6,12.0,0.0,0.0
Ain Soltan,0.0,0.0,0.0,0.0,0.0
Kiri® Crème 24 portions,303.0,9.0,2.0,29.0,0.0
Crunchy canadian maple syrup,464.0,8.57,64.3,17.9,6.43
Shredded Wheat,367.5,11.75,68.75,2.25,0.0
SMOOTH ALMOND BUTTER,577.0,20.9,5.9,52.3,10.9
Bio crackers,447.0,14.0,49.0,19.0,12.0
Veganer Schinken Spicker Mortadella,117.0,2.2,2.9,9.0,8.0
Growers Harvest Tomato Purée,84.0,4.78,14.08,0.38,3.18
Crème cuisson,216.0,9.0,4.5,18.0,0.0
THIN-SLICED ORGANIC BREAD 21 WHOLE GRAINS AND SEEDS,214.0,10.7,50.0,3.57,10.7
Thon entier au naturel,116.0,26.0,0.0,1.3,0.0
Tomato Purée,94.0,4.5,17.0,0.25,2.2
Activia bifidus nature 125g x 4,62.0,3.4,4.4,3.4,0.0
PurSoup' Velouté de 10 légumes,42.4,0.72,5.2,1.92,0.8
Compote de pomme allégée,63.0,0.3,14.0,0.2,1.9
Crème légère semi épaisse 18%,194.0,2.3,5.7,18.0,0.0
SPECIAL K The Original,392.0,8.0,84.0,1.3,6.0
McVities Rich Tea Biscuits,460.0,7.2,71.1,15.7,3.0
Branston Pickle Small Chunk,159.0,0.6,35.0,0.8,1.7
Bebida isotónica limón,18.0,0.0,4.4,0.0,0.0
Baiocchi nocciola snack mb,510.0,8.0,59.0,26.0,4.0
Amora Mayonnaise De Dijon Flacon Souple 235g,648.0,1.2,1.6,70.0,0.5
Oat M*lk,46.5,0.25,6.85,2.0,0.0
White tiger bloomer,295.0,8.07,48.2,7.02,3.16
Cacau em pó,389.0,23.3,10.0,21.9,29.1
Peanut butter,160.0,7.0,6.0,14.0,0.0
Crunchy original,530.0,6.73,51.95,32.87,1.2
Super Berry Granola,382.0,11.0,50.0,12.0,15.0
Wheat and Rye Soughdough Half Bloomer,249.0,9.0,44.9,2.6,5.0
Soft Pitted Dates,288.0,2.5,65.2,0.2,7.5
biotiful gut health kefir protues,66.0,12.0,3.52,0.4,0.0
النمر,0.0,0.0,0.0,0.0,0.0
Best of Both Bread,232.0,8.75,44.7,1.75,2.5
Yeo Valley Salted Butter,745.0,0.6,0.6,82.0,0.0
María 100% Integral,410.0,8.7,66.0,10.0,11.0
Intense Dark Chocolate 85% Cocoa Solids,632.0,9.1,25.4,52.6,10.2
Dijon-Senf,151.0,7.0,3.5,11.0,0.0
Chicoree liquide 250 ml,238.0,2.4,53.0,0.6,3.0
1L PUR JUS ORANGE JOKER NEW,41.0,0.8,9.0,0.0,0.0
Tartines Craquantes Multi-Céréales,377.0,9.9,78.0,2.3,2.5
Huile d'Olive Vierge Extra,900.0,0.0,0.0,100.0,0.0
Huile d'olive vierge extra - Bio,900.0,0.0,0.0,100.0,0.0
Sainte-Maure,291.0,20.0,1.0,23.0,0.0
Tipiak Graine Parfumé,165.0,5.86,32.1,1.29,2.36
Batchelors : Mushy Original,88.0,5.9,13.1,0.4,3.9
Strawberry Bio Live Yoghurt,98.0,4.5,10.9,4.0,0.0
soya Vanille,57.0,3.0,6.7,1.8,0.5
L'ben,40.13,2.7,3.62,1.65,0.0
Ricoré Original Café & Chicorée,141.0,3.0,7.7,0.4,48.7
Granola baja en azúcares,477.0,13.6,50.2,22.7,8.5
Yogur estilo griego natural,129.0,3.9,3.9,10.8,0.0
Vegemite,174.0,25.9,11.1,0.9,8.4
Chocolat au lait feuilleté caramel,0.0,0.0,0.0,0.0,0.0
Chocolate negro 0% azúcares añadidos 85% cacao,571.0,11.0,22.0,49.0,13.0
Menguy's Beurre de cacahuètes crunchy,629.0,25.0,12.0,52.0,6.7
Authentic Greek Yoghurt,137.0,6.0,4.1,10.7,0.2
Queso de untar light,130.0,9.0,4.8,8.3,0.0
Pizza Base with Tomato Sauce,227.0,7.0,41.0,3.4,3.0
Rosemary & Sea Salt Thins,386.0,12.9,68.6,4.29,8.57
Wholemeal Bagels,252.0,10.7,44.9,1.9,6.2
Black Beans in Water,110.0,7.5,15.1,0.6,7.1
Ванилов сладолед с парчета бисквити с шоколадов чипс и шоколадови парчета,273.0,4.1,31.0,15.0,0.6
Chips de Sarrasin au Sel de Guerande,567.0,8.9,45.0,38.0,4.6
bisto,12.0,1.0,3.2,1.0,1.0
"BN - Strawberry Cookies, 285g (10oz)",398.0,5.3,75.0,8.4,2.5
CIABATTA ROLLS,267.0,10.4,49.4,2.4,3.2
PET 1.2L MAYTEA MENTHE,14.0,0.0,3.3,0.0,0.0
Baked Sea Salt,438.0,5.9,73.0,13.0,6.3
Snack a Jacks Zingy Salt & Vinegar 117g,410.0,8.57,78.1,5.71,3.81
Natural Ingredients Buttery,677.0,0.5,0.5,75.0,0.0
Complet au sarrasin,224.0,7.5,33.0,3.6,15.0
Full Fat Soft Cheese,255.0,4.7,3.1,24.5,1.6
Taboulé à l’orientale,183.0,4.5,25.0,6.7,2.1
Tomaten passiert,33.0,1.7,4.9,0.5,1.4
Bonbon à la Sève de Pin,390.0,0.1,97.5,0.0,0.0
La Barquette (chocolat),489.0,6.5,62.0,23.0,2.6
Création Rocher Noir,564.0,6.6,48.0,37.0,0.0
Bulles de fruits Pamplemousse Touche de citron,21.0,0.5,4.9,0.5,0.5
Oasis tropical,28.0,0.1,6.6,0.0,0.0
100% mie,266.0,7.0,48.0,4.2,4.0
BRANDADE DE MORUE,156.0,7.2,10.1,9.6,0.0
Philadelphia 200g,226.0,5.4,4.3,21.0,0.2
Céréales Trésor Kellogg's Chocolat Noisettes - 1kg,456.0,7.0,69.0,14.0,3.5
Soya Wholebean Unsweetened Drink U.H.T.,33.0,3.3,0.0,1.8,0.6
Le Classique Soja et Blé,191.0,21.0,4.0,8.7,6.4
Filippo Berio Extra Virgin Olive Oil imp,822.0,0.0,0.0,91.3,0.0
Digestive Muesli,462.0,7.5,64.0,18.0,7.0
Wholegrain Mustard,176.0,6.9,9.4,10.0,0.0
Amora Sauce Burger 260g,240.0,1.1,11.0,21.0,0.6
Protein strawberry,72.0,10.0,6.6,0.2,0.0
Scottish Rough Oatcakes,447.0,10.0,58.0,17.0,7.6
yogo banan,0.0,0.0,0.0,2.0,0.0
100% cacao puro natural,339.0,25.0,17.0,11.0,34.0
Duchy Organic Mayonnaise,717.0,0.9,5.1,77.0,0.0
itri choco,449.0,7.0,70.0,21.0,0.0
10 Pains au lait frais sans sucres ajoutés 350g,324.0,10.0,47.0,10.0,3.0
Pomme de terre nature,540.0,6.2,54.0,35.0,3.9
Wholemeal Loaf,260.0,16.0,35.2,4.6,7.0
Seriously good vegan mayo,558.0,0.5,3.0,60.2,0.0
Bonne Maman Hazelnut Chocolate Spread,551.0,6.7,53.0,34.0,3.3
slice burger viva,0.0,0.0,0.0,0.0,0.0
coca-cola,0.0,0.0,0.0,0.0,0.0
FRUT MAX,38.0,0.0,9.5,0.0,0.0
filets de maquereaux à l'huile végétale,180.1,30.1,0.6,15.6,0.0
6.11118E+12,0.0,0.0,0.0,0.0,0.0
all butter shortbread fingers,514.0,6.29,59.4,27.4,2.29
Bio Reiswaffeln mit Salz,385.0,8.5,79.0,3.3,3.5
Oasis Pomme Cassis Framboise,34.0,0.0,8.1,0.0,0.0
Filets de Sardines Citron Basilic,147.0,17.0,0.5,8.4,0.0
Curly cacahuete,461.0,13.0,54.0,20.0,3.8
Sucre Cmplet Muscovado,394.0,0.5,98.0,0.0,0.0
Räuchertofu Mandel-Sesam,194.0,19.0,1.5,12.0,0.0
M&M's Cacahuètes - Pack familial,524.0,9.8,59.0,26.0,0.0
Salted Butter,737.0,0.5,0.0,81.7,0.0
Belvoir Farm Ginger Cordial,17.0,0.0,4.5,0.0,0.0
Extra,42.0,3.96,4.0,0.0,0.0
NESTLÉ DESSERT Corsé 200g,554.0,8.3,40.6,37.3,10.6
Crunchy Avoine & Fruits Rouge 5 x 42 g,452.0,7.38,64.8,16.9,6.19
Digestive zero sin azúcares,430.0,6.2,68.0,16.0,6.5
Tortitas de maíz,367.0,7.67,80.0,1.67,1.0
Rana spinach and ricotta fresh tortelloni,222.0,8.0,32.0,6.3,2.6
"Kefir, Mango and Passion Fruit",81.0,4.0,11.6,2.0,0.0
TORTILLA WRAPS WHOLEMEAL,307.14285710000007,7.321428571428571,41.25,3.75,7.857142857142861
Original,378.0,6.6,78.0,2.5,7.8
Thon à l'huile végétale,321.0,21.1,0.5,26.3,0.0
Simply porridge oats,368.0,12.0,56.0,8.5,9.0
Hazelnut Butter Dark Chocolate,611.0,9.4,33.0,47.0,9.3
Chips nature,508.0,6.1,53.0,30.0,4.3
"PET 1,5L SCHWEPPES AGRUMES",19.0,0.0,4.5,0.0,0.0
Nordic Oat Drink,47.0,0.7,7.1,1.5,1.0
signal,0.0,0.0,0.0,0.0,0.0
Jus d'orange sans pulpe,42.0,0.7,9.0,0.05,0.0
Brioche tranchée,357.0,7.3,53.2,12.4,1.6
Pitted Black Olives in Brine,134.0,0.5,0.0,14.0,3.0
Tomacouli,27.0,1.2,4.5,0.1,1.6
Excellence Raspberry,536.0,6.1,52.0,32.0,7.0
Petits coeurs chocolat,507.0,5.9,63.0,25.0,2.9
Le Sablé pur beurre,501.0,6.8,70.0,21.9,0.0
Amandes grillées sans sel,637.0,25.0,5.4,55.0,9.3
Compote Pomme Nature,55.0,0.3,12.0,0.2,1.9
RUDE Almond Organic Drink imp,56.0,0.5,10.0,1.5,0.5
Schokobons,576.0,8.3,52.5,36.6,0.0
Bahia,0.0,0.0,0.0,0.0,0.0
Joly,175.4,33.0,0.96,4.4,0.0
Sauce apéritif Guacamole,77.0,1.7,9.5,3.2,1.5
Gazpacho Original,42.0,0.9,3.5,2.4,1.2
Coca cola zero,0.2,0.0,0.0,0.0,0.0
Marmite Reduced Salt,271.0,39.0,29.0,0.5,0.0
Amora Sauce Crudites Nature,255.0,0.5,4.9,26.0,0.5
Skyr vanille,85.7,8.71,8.43,1.93,0.0
Golden syrup,100.0,0.0,26.2,0.0,0.0
Superseed Farmhouse,286.0,10.4,40.1,8.2,5.0
Thunfisch Filets in eigenem Saft,101.0,23.0,0.0,1.0,0.0
Mixed Nuts,639.3403442000001,20.3,4.3,58.7,10.6
María dorada 0%,445.0,6.9,68.0,18.0,3.9
Gazpacho Tradicional,41.0,0.8,3.6,2.6,1.1
Tentation,541.0,7.0,30.3,45.5,0.0
Croustibat,196.0,13.0,16.0,8.7,0.8
Bebida de Avena Calcio y Vitaminas,52.0,0.5,6.8,2.5,0.56
Oatly Semi Oat Drink imp,48.0,1.1,7.0,1.5,0.8
6 Wholemeal Pitta Breads,213.0,10.0,41.1,1.3,7.2
La Vie Jambon Végétal,110.0,19.5,3.2,1.6,2.5
Mustard powder imp,0.0,0.0,0.0,0.0,0.0
BelVita Original Petit Déjeuner pépites de chocolat,436.0,8.6,66.0,14.0,7.1
BLE 70CL PULCO CITRON VERT,22.0,0.2,1.0,0.0,0.0
Bridélice Crème légère fluide 12%Mat. Gr.,144.0,3.1,5.6,12.0,0.0
Cannelle moulue,257.0,0.0,0.0,0.0,0.0
Biscuits nappés de chocolat noir,471.0,9.7,57.0,21.0,7.1
Flocons d'avoine complets,371.0,12.0,60.0,7.0,10.0
Meli mélo gourmand,126.0,5.1,22.0,1.2,2.7
Framboise Intense,171.0,0.7,39.0,0.5,2.3
"Beanz In a Rich Tomato Sauce, Organic",82.0,4.9,13.2,0.2,3.8
Walkers Ready Salted Crisps 6pk,520.0,6.0,53.3,31.1,5.11
Berry Delight Bars,380.0,6.7,57.0,12.0,8.7
Spaghetti Senza Glutine,358.0,6.5,79.0,1.5,1.1
Frutas Mezcladas,53.0,0.3,12.8,0.0,0.0
Yogur Proteínas Fresa 0%,53.0,8.3,5.0,0.5,0.0
Tasty Wholemeal Thick,221.0,10.0,37.9,1.7,6.81
POM-BEAR Potato snacks,508.0,3.85,60.8,26.2,5.38
Ketchup stat 330g,108.0,1.128,25.7,0.08800000000000001,0.0
Muesli Swiss Style,362.0,11.3,64.7,4.89,16.0
Crunchy Muesli Multi Fruit,426.0,7.9,63.5,13.9,7.6
Aiguebelle Mini Chocolate,60.0,8.0,5.0,15.0,6.0
SOFT CHEESE,206.0,3.5,4.6,19.3,0.0
Pain grillé,403.0,11.0,72.0,6.6,5.8
Protein Raspberry-Pomegranate,65.0,10.0,6.0,0.3,0.0
Gemüse Brühwürfel,380.0,5.3,5.1,37.0,2.7
PET 1L OCEAN SPRAY SANS SUCRE,10.0,0.0,1.5,0.0,0.0
Bebida de Soja,35.0,3.4,0.8,1.9,0.7
Pan de molde blanco natural rústico,265.0,9.1,47.0,4.5,1.2
Zéro Grenadine,11.0,0.0,3.1,0.0,0.0
KitKat Cereal,420.0,7.8,69.4,10.9,6.4
Sardine à l’huile végétale,238.7,26.8,1.2,14.1,0.0
Luncheon splendida,0.0,0.0,0.0,0.0,0.0
Salted English Butter,745.0,0.6,0.6,82.2,0.0
Cornichons Gurken,35.0,1.2,5.5,0.3,1.4
Organic Sesame Biscuits,481.0,9.6,61.0,21.0,4.7
Excellence Lait Extra Fondant,569.0,6.4,51.0,37.0,0.0
Fourré Cacao sans sucres,456.0,6.7,64.0,22.0,3.0
Salade & Compagnie - Antibes,196.0,6.25,20.0,9.38,2.5
Couscous Oriental légumes cuisinés et poulet émincé,91.0,6.9,11.0,1.8,1.4
"Fromage blanc au lait demi-écrémé, 3% de Mat. Gr.",69.0,6.4,4.0,3.0,0.0
Kinder Maxi,566.0,8.7,53.5,35.0,0.0
Lentil Chips - Sea Salt Flavour,474.0,11.4,61.9,19.0,5.0
Aicha Tomate,117.0,4.6,23.7,0.4,3.0
Jus d'orange,49.0,0.1,12.0,0.0,0.0
Crispy Chili oil,533.0,10.0,20.0,46.7,10.0
Pan de Molde 100% Integral,238.0,11.0,37.0,3.2,7.4
Light Mayonnaise,267.0,0.6,8.0,26.0,0.0
Pack Cassonade Saint Louis 650g,396.0,0.0,99.0,0.0,0.0
Douceur fromage frais,256.44,7.01,3.1,24.0,0.0
Puglian Extra Virgin Oil,824.0,0.5,0.5,92.0,0.5
Vegetable chips,525.0,4.7,40.0,36.0,11.0
Bono,522.0,10.0,53.68,31.27,0.0
Eyoo choc,494.0,6.5,72.0,20.0,0.0
Tobigo,450.72,6.37,63.11,19.2,0.0
Mon Cherie,455.0,3.0,52.8,20.3,0.0
Protein Drink PLUS,77.2,10.8,5.5,1.1,0.0
vitalya,0.0,0.0,0.0,0.0,0.0
Viva,246.0,7.0,9.0,20.0,0.0
Top Original,469.6,4.51,59.44,23.7,1.37
Miel de Fleurs BIO liquide Doseur 500g,320.0,0.0,80.0,0.5,0.0
Desperados Original aguardiente,57.0,0.0,5.6,0.0,0.0
Muesli croustillant tradition,440.0,9.1,68.0,13.0,5.9
Chips saveur Poulet Braisé,522.0,6.3,52.0,31.0,4.8
tendres perles,356.0,12.0,72.0,1.5,4.2
Cocoa Delight,390.0,8.3,53.0,14.0,9.4
Diet Coke,0.303,0.0,0.0,0.0,0.0
Coca-Cola saveur cerise,43.0,0.0,10.7,0.0,0.0
Petit Déjeuner Chocolat,439.0,7.9,66.0,14.0,6.8
Heudebert Blé complet,387.0,14.0,69.0,4.7,6.5
The golden experience,603.0,8.2,44.4,42.7,4.0
Biscuits Nutella B-ready x15 gaufrettes fourrées,521.0,7.2,60.7,27.0,0.9
Parmigiano Reggiano & Poppyseed Torinesi Breadsticks,430.0,13.0,68.0,11.0,3.3
yogo fraise,95.0,1.99,55.14,6.9,6.3
