name,calories,protein,carbs,fat,fiber
Egg drop soup,26.64,12.93,1.1,13.52,0.81
Chinese cabbage and meat ball soup,484.31,5.21,1.43,56.57,0.57
French onion soup,55.61,11.41,4.28,14.39,1.01
Hot and sour soup,31.51,3.12,1.78,1.31,0.6
Talaumein soup,35.63,10.12,4.17,12.78,1.94
Cold cucumber soup (Thanda kheere ka soup),48.03,2.99,4.58,1.99,0.88
Cold summer garden soup,49.19,8.57,2.65,14.08,1.86
Chapati/Roti,202.31,5.88,35.65,3.56,6.31
Plain parantha/paratha,298.3,5.06,30.69,16.86,5.43
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,3.7,23.92,10.22,4.18
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,3.3,20.54,9.53,4.32
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,3.73,18.84,9.47,4.68
Dal parantha/paratha,268.24,6.78,30.03,13.05,6.46
Sprouted moong parantha/paratha,228.59,4.29,24.31,12.43,4.49
Pea parantha/paratha (Matar ka parantha/paratha),190.73,5.59,21.51,8.8,5.61
Keema parantha/paratha,238.09,9.41,18.36,13.91,3.44
Paneer parantha/paratha,262.97,7.98,24.33,14.62,4.0
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,5.54,21.39,12.09,4.39
Poori,737.63,1.35,8.22,77.61,1.46
Spinach poori (Palak poori),684.25,1.42,7.76,71.86,1.55
Methi poori,710.02,1.45,7.98,74.6,1.61
Dal stuffed poori,785.16,2.08,10.14,81.69,1.96
Potato stuffed poori (Aloo ki poori),776.74,1.52,9.4,81.35,1.64
Tandoori parantha/paratha,295.37,5.08,30.74,16.51,5.44
Boiled rice (Uble chawal),117.19,2.6,25.72,0.18,1.25
Plain pulao,140.21,2.34,21.82,4.62,1.69
Mixed vegetable pulao,113.05,2.72,17.49,3.33,2.67
Mushroom pulao,124.29,2.52,19.02,4.03,1.88
Sprouted moong pulao,112.97,2.19,17.49,3.61,1.78
Paneer pulao,581.91,1.98,8.76,59.81,0.62
Peanut pulao ,193.28,5.32,21.18,9.51,2.9
Navratan pulao,261.71,6.2,36.98,9.45,3.82
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,4.88,27.57,4.82,3.15
Mutton biryani/biriyani,190.76,7.38,22.5,7.72,2.42
Vegetable biryani/biriyani,174.61,3.16,18.56,9.51,3.31
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,4.26,21.62,7.88,2.52
Sweet rice (Meethe chawal),215.41,2.1,42.59,4.57,1.13
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,5.75,32.93,4.32,2.13
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,7.45,65.08,8.53,5.12
Spanish rice,164.24,4.19,31.1,2.23,2.78
Chinese fried rice,120.58,4.05,13.4,5.43,2.31
Macroni cheese pie,170.63,5.85,21.1,7.48,0.4
Vegetable chowmein,129.71,3.07,15.44,6.36,1.86
Chicken chowmein,151.33,6.33,13.3,8.23,1.64
Cheese noodle ring,133.67,6.22,13.96,6.12,1.27
Spaghetti and cheese balls in tomato sauce,508.32,2.41,7.82,52.08,0.59
Penne platter,177.4,5.04,20.87,8.71,1.09
Pasta hot pot,125.17,5.84,11.6,6.47,0.8
Chicken lasagne,187.49,10.45,13.9,10.36,0.11
Fettuccine with spinach sauce,129.21,3.1,12.19,7.83,0.77
Naan,286.45,8.05,51.75,4.99,1.91
Bhatura,793.2,1.63,10.73,82.56,0.38
Idli,137.54,4.64,28.18,0.33,2.31
Masala dosa,164.58,3.29,19.57,7.84,2.52
Semolina dosa (Suji/Rava dosa),227.05,7.3,32.84,7.12,4.04
Onion tomato uttapam,462.02,1.91,11.32,45.3,1.26
Paneer kaathi roll,285.94,6.92,20.1,19.55,2.4
Makki ki roti,263.97,3.49,24.19,16.85,5.19
Washed moong dal (Dhuli moong ki dal),50.0,2.68,5.91,1.68,1.17
Washed urad dal (Dhuli urad ki dal),61.32,2.51,5.84,2.98,1.53
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,2.79,7.1,3.6,2.72
Dry washed urad,124.71,6.85,15.66,3.5,4.06
Mixed dal,61.93,2.51,5.79,3.1,1.62
Whole moong (Moong ki dal),53.7,2.25,5.22,2.56,2.02
Whole masoor (Masoor ki dal),54.05,2.28,5.37,2.52,1.98
Whole moth (Moth ki dal),55.0,2.01,5.74,2.62,1.85
Whole urad (Urad ki dal),53.8,2.21,5.05,2.62,2.32
Moti mahal dal (Urad rajmah mix dal),103.13,3.93,8.74,5.66,3.38
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,5.67,14.11,6.61,7.99
Chickpeas curry (Safed channa curry),163.43,6.1,19.98,6.84,4.73
Lobia curry,148.99,6.06,17.88,5.62,4.57
Soyabean curry,163.28,10.43,6.76,10.19,7.34
Kidney bean curry (Rajmah curry),143.73,5.95,16.38,5.77,5.83
Sambar,96.92,3.35,10.57,4.38,3.52
Besan kadhi with pakodies,403.35,1.64,3.56,42.59,0.81
Khatta channa,202.57,6.3,21.14,10.56,5.26
Sprouted moong dal chat,32.47,1.35,6.01,0.32,1.35
Potato cauliflower (Aloo gobhi),106.18,1.9,5.99,8.13,3.02
Potato capsicum (Shimla mirch aloo),125.53,1.41,8.72,9.33,2.02
Cabbage and peas (Pattagobhi aur matar),63.88,3.24,6.24,2.64,3.99
Carrot and fenugreek leaves (Gajar methi),61.92,2.1,4.17,3.81,4.43
Potato fenugreek (Aloo methi),135.15,2.25,8.47,10.04,2.93
Brinjal bhartha (Baingan ka bhartha),65.12,1.38,4.4,4.48,3.27
Dry potato (Sookhe aloo),103.15,1.62,14.38,4.18,1.88
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,2.62,4.39,11.39,5.59
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,2.64,3.99,11.56,5.27
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,1.82,4.99,8.62,4.52
Raw turnip with coconut ,132.15,1.8,5.78,11.47,2.79
Raw papaya with coconut (Papaya thoran),132.75,1.54,5.58,11.42,4.31
Stuffed okra (Bharwa bhindi),94.34,2.08,3.85,7.66,4.15
Stuffed round gourd (Bharwa tinde),72.8,1.1,4.02,5.75,2.1
Stuffed capsicum (Bharwa shimla mirch),90.94,1.34,8.26,5.7,2.01
Stuffed brinjal (Bharwa baingan),93.0,1.53,3.96,7.73,4.09
Stuffed tomatoes (Bharwa tamatar),93.35,3.28,6.19,6.06,2.2
Pea potato curry (Aloo matar),100.92,3.48,9.74,5.13,3.61
Pea paneer curry (Matar paneer),134.83,6.61,9.29,7.75,3.3
Pea mushroom curry (Matar mushroom),93.3,3.87,7.41,5.16,3.86
Pea curry (Matar ki sabzi),102.99,4.51,9.2,5.11,4.44
Pea vadi curry,101.95,4.64,8.9,5.08,4.28
Paneer curry,176.52,7.8,8.4,12.38,1.4
Lotus stem curry (Kamal kakdi curry),110.34,1.53,9.24,7.25,3.14
Gravy for kofta,125.59,1.75,6.31,10.35,1.96
Pea kofta curry (Matar kofta curry),595.66,2.01,4.17,63.39,1.7
Spinach kofta curry (Palak kofta curry),571.78,1.09,3.56,61.49,0.92
Paneer kofta curry,670.91,2.39,3.27,72.06,0.4
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,0.96,5.01,67.76,1.01
Raw banana kofta curry (Kela kofta curry),627.27,0.62,3.4,67.98,0.59
Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,1.04,2.62,69.62,1.0
